order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.1139	26.4093	0.9747	2.912	0	0	141.6	8.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.1024	16.3386	0.6555	2.102	1.594	83.7	-145.1	53.6
0	0	0	0	0	0	0	0	0	0
1	1	0.072	1.0904	0.0699	0.384	2.233	109.9	47.9	110.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0171	0.1843	0.0429	0.795	1.872	52.7	11.3	66.8
0	0	0	0	0	0	0	0	0	0
1	1	0.0981	13.6382	0.6258	2.333	2.105	65.9	-26.3	95.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	869	0.0272	0.6529	0.0961	1.126	2.714	155	118.5	107.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	869	0.0255	0.231	0.0368	0.468	2.36	71	20.9	78.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	869	0.0812	3.4587	0.2028	1.079	2.314	92.1	-172	40.1
2	869	0.0778	11.3549	0.6588	3.081	2.483	145.5	127.9	85.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	869	0.0368	0.5509	0.0619	0.557	2.3	111.4	72.9	66
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	869	0.0528	1.6833	0.1337	0.891	2.586	174.4	78.2	92.9
0	0	0	0	0	0	0	0	0	0
0	869	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	869	0.0812	4.7334	0.2673	1.38	2.345	34.1	-162.5	67.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	869	0.0812	3.9498	0.2143	1.082	2.269	105.5	42.3	80.9
0	0	0	0	0	0	0	0	0	0
2	869	0.0808	11.2507	0.6277	2.823	2.337	104.7	-164.7	74.3
0	0	0	0	0	0	0	0	0	0
0	869	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
